market,side,signal_i,signal_time,break_i,retest_i,level,fight_low,fight_high,atr,volume_ratio,strength
SEMI,SHORT,2727,2025-04-03 15:30:00-04:00,2724,2725,172.82000732421875,171.0,173.60000610351562,2.8382810507073173,4.071769832151764,1.2254883777238852
SEMI,LONG,2861,2025-05-02 09:30:00-04:00,2854,2855,184.7899932861328,183.47000122070312,187.35000610351562,2.173051338748956,3.137631762030319,2.0354104203057366
SEMI,LONG,2910,2025-05-13 09:30:00-04:00,2906,2907,208.3300018310547,206.50999450683594,209.05999755859375,2.301425416291039,2.1767495878388083,1.8726980974159169
SEMI,SHORT,2960,2025-05-22 10:30:00-04:00,2957,2958,208.10000610351562,206.63999938964844,209.47000122070312,1.8614315422396872,1.7860893641397746,0.692058955578953
SEMI,LONG,3014,2025-06-03 15:30:00-04:00,3010,3011,212.60000610351562,212.02000427246094,213.8000030517578,1.6093281342726786,1.94965798667714,0.6871671176099362
SEMI,LONG,3022,2025-06-05 09:30:00-04:00,3019,3020,217.3249969482422,216.52999877929688,217.6199951171875,1.5840595979704961,1.9648032331094993,0.7022888206353279
SEMI,LONG,3036,2025-06-09 09:30:00-04:00,3024,3030,219.41000366210938,217.2100067138672,220.19000244140625,2.0186046107746987,1.6293206354526866,2.049094366031939
SEMI,LONG,3050,2025-06-11 09:30:00-04:00,3045,3047,226.24000549316406,226.07000732421875,227.86500549316406,1.700341145753744,1.5468978673153204,1.2213715567922523
SEMI,LONG,3113,2025-06-25 09:30:00-04:00,3107,3108,233.66000366210938,233.4499969482422,235.36000061035156,1.8032348322509202,1.0783991506075272,0.6312033111951225
SEMI,LONG,3119,2025-06-25 15:30:00-04:00,3113,3114,235.36000061035156,235.08999633789062,236.99000549316406,1.5474927708031663,1.1427113351356526,0.5230700132417625
SEMI,SHORT,3242,2025-07-23 09:30:00-04:00,3235,3237,244.8800048828125,242.44000244140625,244.50999450683594,1.6793518943724608,3.3861284325653354,2.170092072111488
SEMI,SHORT,3288,2025-07-31 13:30:00-04:00,3285,3286,243.1699981689453,240.60000610351562,243.5500030517578,2.0839897694127694,1.3774142949881674,0.9245920247066064
SEMI,SHORT,3291,2025-08-01 09:30:00-04:00,3287,3288,241.61749267578125,237.66000366210938,241.3800048828125,2.3648701642847363,3.691762841024076,1.6850314238991384
SEMI,LONG,3340,2025-08-12 09:30:00-04:00,3333,3337,243.3699951171875,241.9499969482422,244.625,1.772226350377106,2.826119483490047,2.406300428712597
SEMI,LONG,3347,2025-08-13 09:30:00-04:00,3344,3345,249.52999877929688,249.1699981689453,250.3800048828125,1.6588613892024446,1.6789483621337153,1.8677745228838765
SEMI,SHORT,3382,2025-08-20 09:30:00-04:00,3378,3379,246.24000549316406,244.72999572753906,246.4600067138672,1.8292189428804337,5.808890369815307,4.162545645963412
SEMI,LONG,3429,2025-08-28 14:30:00-04:00,3424,3425,251.65989685058594,251.5399932861328,252.96099853515625,1.200974337449706,1.1724469200200125,0.4982265968538459
SEMI,SHORT,3438,2025-09-02 09:30:00-04:00,3435,3436,244.55999755859375,244.22999572753906,245.44000244140625,1.8917359974734889,3.0975779457519557,2.675708541349855
SEMI,LONG,3507,2025-09-15 15:30:00-04:00,3501,3502,256.510009765625,256.4100036621094,257.7200012207031,1.0791800626038437,1.2841463958746782,0.4836443017969843
SEMI,LONG,3590,2025-10-01 14:30:00-04:00,3587,3588,273.4150085449219,273.1600036621094,274.9700012207031,1.5763896038151475,2.3223122584186098,0.7931341401466632
SEMI,SHORT,3639,2025-10-10 14:30:00-04:00,3636,3637,279.3450012207031,276.0400085449219,279.7349853515625,2.826387366889921,2.46373624883708,1.3855704763850731
