universe,trade_year,period,cost_bps_side,portfolio_return_pct,closed_mdd_pct,accepted,opportunities,trades,wins,losses,win_rate_pct,avg_trade_pct,median_trade_pct,avg_win_pct,avg_loss_pct,payoff,pf,best_trade_pct,worst_trade_pct
KOSPI40_ROLLING,2021,Y2021,20.0,0.3370749395392947,3.4518655365513795,33,45,33,14,19,42.42424242424242,1.0411747893184709,-2.271397055513047,8.399504066427347,-4.3807520464459655,1.9173657804352866,1.4127958382154742,24.228569076152517,-8.644735452927211
KOSDAQ40_ROLLING,2021,Y2021,20.0,7.3217850562867115,2.912622274314036,25,27,25,12,13,48.0,1.3878260931250457,-0.9850886462369424,7.792961155683166,-4.524606272313218,1.7223512249827193,1.5898626692148177,38.1246247370219,-10.184543194313134
KR80_ROLLING,2021,Y2021,20.0,-3.2295223157776776,7.702627166293019,52,72,52,21,31,40.38461538461539,0.3125482206855389,-2.197110931626167,7.2717291931610495,-4.401735663894645,1.6520140572746345,1.119106296863462,24.228569076152517,-10.184543194313134
KOSPI40_ROLLING,2022,Y2022,20.0,-2.967027411994494,4.927023931363095,11,13,11,2,9,18.181818181818183,-2.6265814636676486,-3.942313002453579,4.768775501962219,-4.269994122696508,1.11681078824313,0.24818017516514,7.8175866772586255,-7.01872915683317
KOSDAQ40_ROLLING,2022,Y2022,20.0,-1.1725813034780264,1.8004024093775328,7,12,7,2,5,28.571428571428573,-1.4899919762426201,-5.06136662844523,11.5713132500602,-6.714514066763748,1.723328469492257,0.6893313877969028,19.776849463129096,-10.300346053455211
KR80_ROLLING,2022,Y2022,20.0,-4.0897470989807,6.0450609459839715,18,25,18,4,14,22.22222222222222,-2.1845744407801377,-4.133334608067296,8.17004437601121,-5.143036959863379,1.588564196557561,0.45387548473073175,19.776849463129096,-10.300346053455211
KOSPI40_ROLLING,2023,Y2023,20.0,1.128262357712928,3.594508023596965,12,18,12,3,9,25.0,-0.6375804974622005,-3.038984819521567,7.933975047685767,-3.49476567917819,2.2702452112759324,0.756748403758644,12.021876991936864,-5.579384965293999
KOSDAQ40_ROLLING,2023,Y2023,20.0,2.4101637957932853,2.7722455402961144,14,15,14,7,7,50.0,4.670568274730455,-1.096407185628745,16.2262034389548,-6.885066889493895,2.3567241537935955,2.3567241537935955,35.95923491898485,-13.538720604393816
KR80_ROLLING,2023,Y2023,20.0,3.482649846766672,4.427950444262663,25,33,25,9,16,36.0,2.2102084539671525,-2.749332795083992,14.69457479149789,-4.812247610893888,3.0535782818474577,1.717637783539195,35.95923491898485,-13.538720604393816
KOSPI40_ROLLING,2024,Y2024,20.0,-16.122930988047223,16.122930988047223,29,32,29,2,27,6.896551724137931,-4.617570982015144,-5.175974581449349,7.270789601886019,-5.49819028452634,1.3223968661740095,0.097955323420297,13.995577494261058,-11.336898603182366
KOSDAQ40_ROLLING,2024,Y2024,20.0,0.22603363612700988,2.886367160451242,12,15,12,4,8,33.333333333333336,-0.20010339669380786,-5.240637857664598,16.76744008103565,-8.683875135558537,1.930870702225636,0.965435351112818,32.57079787461645,-18.797928122440734
KR80_ROLLING,2024,Y2024,20.0,-15.52526191623943,15.52526191623943,40,47,40,6,34,15.0,-3.2732889430449688,-4.805814793613633,13.601889921319106,-6.2512616838151,2.1758631472003858,0.38397584950595043,32.57079787461645,-18.797928122440734
KOSPI40_ROLLING,2025,Y2025,20.0,12.705140759107291,6.067551364826606,38,44,38,18,20,47.36842105263158,4.840893094003389,-0.8165763710673901,16.276442084138345,-5.4511009971180755,2.9858999297102518,2.687309936739227,55.17914447348397,-13.790905583790403
KOSDAQ40_ROLLING,2025,Y2025,20.0,4.761154383375454,3.4942817766360434,22,25,22,8,14,36.36363636363637,2.7695384961228764,-5.105141756819948,24.465089051298552,-9.62791896397751,2.541056810182319,1.4520324629613253,39.6281615173409,-19.64855062934161
KR80_ROLLING,2025,Y2025,20.0,10.635396455201462,6.749482598099544,55,69,55,22,33,40.0,3.096424363299755,-2.1465840249325963,18.57919956622952,-7.225425771986759,2.571363979443503,1.7142426529623356,55.17914447348397,-19.64855062934161
KOSPI40_ROLLING,2026,Y2026,20.0,-0.44134215117798137,8.341958291061879,22,34,22,8,14,36.36363636363637,-2.3487835984914867,-4.815894139820143,12.885283581045236,-11.053964843941044,1.165670758226446,0.6660975761293978,33.48732702193378,-21.22133382560505
KOSDAQ40_ROLLING,2026,Y2026,20.0,-2.1260018257231117,3.6705722260339413,16,18,16,5,11,31.25,-0.9054141756628686,-8.16798037440924,22.78642076648604,-11.674430058457828,1.9518229714330129,0.8871922597422787,41.57542058739663,-21.183665726398438
KR80_ROLLING,2026,Y2026,20.0,1.947657395516167,5.419678757469548,25,52,25,11,14,44.0,-0.09899962694557203,-4.05025725674748,15.036647089551316,-11.991293475621701,1.2539637296110564,0.985257216122973,41.57542058739663,-21.183665726398438
