strategy,signal_time,entry_time,exit_time,entry_i,exit_i,entry_price,initial_stop,stop_source,pivot_time,risk_pct,entry_gap_atr,atr_ratio_setup,vol_ratio_setup,breakout_vol_ratio,exit_price_weighted,return_pct,r_multiple,tp1_hit,exit_reason,period,trade_year,market,symbol,name,ticker,cost_bps_side,priority_breakout_vol,priority_atr_ratio,priority_vol_ratio
SOR_E1_BE,2020-06-01,2020-06-02,2020-07-30,833,875,185388.25,166043.390625,pivot,2020-05-28,10.434781802514452,0.37735617182090264,0.735042746371529,0.30576597026661434,1.8080383367132922,233548.8984375,25.85234838516126,2.489583796082777,True,trend_off_next_open,Y2020,2020,KOSPI,068270,셀트리온,068270.KS,5.0,1.8080383367132922,0.735042746371529,0.30576597026661434
SOR_E1_BE,2020-11-25,2020-11-26,2020-12-28,955,976,270022.03125,227705.140625,pivot,2020-11-17,15.671643691110853,0.358423726013151,0.7098323313877055,0.9191540376899737,10.112577165970539,281709.53125,4.224074309908188,0.2761899522243076,False,trend_off_next_open,Y2020,2020,KOSPI,068270,셀트리온,068270.KS,5.0,10.112577165970539,0.7098323313877055,0.9191540376899737
SOR_E1_BE,2020-05-21,2020-05-22,2020-09-09,826,903,382000.0,330000.0,pivot,2020-05-13,13.612565445026178,0.3665987780040733,0.8033126293995859,0.6627208886718273,1.7372766002628468,584000.0,52.72677797227041,3.8846153846153846,True,trend_off_next_open,Y2020,2020,KOSPI,051910,LG화학,051910.KS,5.0,1.7372766002628468,0.8033126293995859,0.6627208886718273
SOR_E1_BE,2020-06-05,2020-06-08,2020-09-09,837,903,440000.0,380000.0,pivot,2020-05-28,13.636363636363637,0.425531914893617,0.8275862068965517,0.9613315435733016,1.5115225206314988,621000.0,40.995297805642636,3.0166666666666666,True,trend_off_next_open,Y2020,2020,KOSPI,051910,LG화학,051910.KS,5.0,1.5115225206314988,0.8275862068965517,0.9613315435733016
SOR_E1_BE,2020-07-09,2020-07-10,2020-09-09,861,903,544000.0,487500.0,pivot,2020-07-02,10.386029411764707,0.23094688221709006,0.700352526439483,0.6964134306851242,1.334239571327626,669500.0,22.946844592409676,2.221238938053097,True,trend_off_next_open,Y2020,2020,KOSPI,051910,LG화학,051910.KS,5.0,1.334239571327626,0.700352526439483,0.6964134306851242
SOR_E1_BE,2020-11-25,2020-11-26,2020-11-30,955,957,47650.0,45550.0,pivot,2020-11-19,4.4071353620146905,0.0,0.6910994764397905,0.8293979470560161,1.7017110500127217,45550.0,-4.502680454106612,-1.0,False,initial_stop,Y2020,2020,KOSPI,105560,KB금융,105560.KS,5.0,1.7017110500127217,0.6910994764397905,0.8293979470560161
SOR_E1_BE,2020-08-07,2020-08-10,2020-09-01,882,897,1411000.0,1343000.0,pivot,2020-08-04,4.819277108433735,0.0,0.8344549125168237,0.7752481016109323,1.586741872976716,1521000.0,7.68814742168249,1.6176470588235294,True,trend_off_next_open,Y2020,2020,KOSPI,051900,LG생활건강,051900.KS,5.0,1.586741872976716,0.8344549125168237,0.7752481016109323
SOR_E1_BE,2020-12-11,2020-12-14,2020-12-29,967,977,55753.40625,53500.7421875,pivot,2020-12-08,4.040406163524763,0.11834283098099903,0.800000173405869,0.938934418605329,1.8455929597747354,53500.7421875,-4.13631780154221,-1.0,False,initial_stop,Y2020,2020,KOSPI,017670,SK텔레콤,017670.KS,5.0,1.8455929597747354,0.800000173405869,0.938934418605329
SOR_E1_BE,2020-09-16,2020-09-17,2020-09-25,909,915,47200.0,41650.0,pivot,2020-09-11,11.758474576271187,0.2945990180032733,0.7425569176882661,0.7454165692620186,1.9605407149380598,44950.0,-4.862134610660762,-0.40540540540540543,False,trend_off_next_open,Y2020,2020,KOSPI,000270,기아차,000270.KS,5.0,1.9605407149380598,0.7425569176882661,0.7454165692620186
SOR_E1_BE,2020-11-10,2020-11-11,2020-12-22,944,973,54500.0,50400.0,pivot,2020-10-30,7.522935779816514,0.0,0.7943262411347518,0.9242706025398082,1.29046541569553,61650.0,13.006203320358178,1.7439024390243902,True,trend_off_next_open,Y2020,2020,KOSPI,000270,기아차,000270.KS,5.0,1.29046541569553,0.7943262411347518,0.9242706025398082
SOR_E1_BE,2020-12-03,2020-12-04,2020-12-22,961,973,65000.0,57800.0,pivot,2020-11-30,11.076923076923077,0.13513513513513514,0.8353808353808354,0.8743192205454564,1.5479756334381103,60600.0,-6.862414946372963,-0.6111111111111112,False,trend_off_next_open,Y2020,2020,KOSPI,000270,기아차,000270.KS,5.0,1.5479756334381103,0.8353808353808354,0.8743192205454564
SOR_E1_BE,2020-05-13,2020-05-14,2020-06-16,820,843,310000.0,275500.0,pivot,2020-05-04,11.129032258064516,0.04175365344467641,0.6291079812206573,0.4541002820620654,1.9708160280043123,373000.0,20.20231819574083,1.8260869565217392,True,trend_off_next_open,Y2020,2020,KOSPI,006400,삼성SDI,006400.KS,5.0,1.9708160280043123,0.6291079812206573,0.4541002820620654
SOR_E1_BE,2020-11-24,2020-11-25,2020-12-30,954,978,561000.0,482000.0,pivot,2020-11-13,14.081996434937611,0.45685279187817257,0.7710219922380336,0.9259851441999197,1.4104017585871138,628000.0,11.8310719862885,0.8481012658227848,False,end_of_data,Y2020,2020,KOSPI,006400,삼성SDI,006400.KS,5.0,1.4104017585871138,0.7710219922380336,0.9259851441999197
SOR_E1_BE,2020-12-29,2020-12-30,2020-12-30,978,978,602000.0,543000.0,pivot,2020-12-23,9.800664451827242,0.06968641114982578,0.8872180451127819,0.6440260907189439,1.823250083371272,628000.0,4.214670073601079,0.4406779661016949,False,end_of_data,Y2020,2020,KOSPI,006400,삼성SDI,006400.KS,5.0,1.823250083371272,0.8872180451127819,0.6440260907189439
