market,ticker,entry_mode,signal_i,signal_date,entry_date,momentum63,momentum_rank,universe_count,asset_60m_regime,market_60m_regime,daily_strict_stack,intraday_strict_stack,signal_close,signal_atr14,signal_rsi14
KR,140700.KS,MA20_RECLAIM_60M,1150,2026-06-02,2026-06-04,0.0880220645905061,4,8,True,True,True,True,20761.625,852.9384357910249,76.28927757313528
KR,140700.KS,MA20_RECLAIM_60M,1157,2026-06-12,2026-06-15,0.0880220645905061,4,8,True,True,True,False,20077.560546875,945.9949194246195,61.53808127408086
KR,140700.KS,MA20_RECLAIM_60M,1158,2026-06-15,2026-06-16,0.0880220645905061,4,8,True,True,True,True,20881.4609375,944.761695471581,65.39751488894152
KR,140700.KS,MA20_RECLAIM_60M,1159,2026-06-16,2026-06-17,0.0880220645905061,4,8,True,True,True,True,21410.73828125,917.9374353083408,67.69586651874323
KR,117700.KS,MA20_RECLAIM_60M,1091,2026-03-06,2026-03-09,0.8571428103344407,3,8,True,True,True,True,6341.85693359375,349.1579826872657,58.20778202265343
KR,117700.KS,MA20_RECLAIM_60M,1133,2026-05-07,2026-05-08,0.8126979221147468,1,8,True,True,True,True,9694.4140625,459.4045542769344,67.346850798409
KR,117680.KS,MA20_RECLAIM_60M,1057,2026-01-13,2026-01-14,0.08740883275687317,3,8,True,True,True,True,13348.8203125,413.7450825081661,65.46322082812128
KR,117680.KS,MA20_RECLAIM_60M,1059,2026-01-15,2026-01-16,0.08740883275687317,3,8,True,True,True,True,13816.5966796875,436.38688467081977,67.94560155715999
KR,117680.KS,MA20_RECLAIM_60M,1076,2026-02-09,2026-02-10,0.30154412154231847,4,8,True,True,True,True,15086.8515625,589.8526875998081,58.82037133613714
KR,117680.KS,MA20_RECLAIM_60M,1081,2026-02-19,2026-02-20,0.30154412154231847,4,8,True,True,True,True,15313.4990234375,508.10780784174125,59.81543250209832
KR,117680.KS,MA20_RECLAIM_60M,1082,2026-02-20,2026-02-23,0.30154412154231847,4,8,True,True,True,True,15776.6484375,523.5491746282669,63.863283280135235
