lever,start,end,cagr,max_dd,calmar
SOXL,2011-09-22,2014-09-22,0.5192003798758777,0.4002019615518503,1.2973459147041437
SOXL,2011-12-21,2014-12-19,0.4672624874264102,0.407711926205925,1.1460603857597427
SOXL,2012-03-23,2015-03-23,0.4086900081056273,0.407711926205925,1.0023989533708373
SOXL,2012-06-22,2015-06-22,0.6052128082130317,0.407711926205925,1.4844128153056626
SOXL,2012-09-21,2015-09-21,0.38939240634029537,0.42130750564296615,0.9242474941101169
SOXL,2012-12-24,2015-12-24,0.4510759732403822,0.42130750564296615,1.070657339825897
SOXL,2013-03-27,2016-03-24,0.32980939408881427,0.42130750564296615,0.7828234476513427
SOXL,2013-06-26,2016-06-24,0.1965058605224388,0.4363519759987272,0.45033796414620103
SOXL,2013-09-25,2016-09-23,0.3294764373964576,0.46583281446544733,0.7072847321297847
SOXL,2013-12-24,2016-12-23,0.42532253090126093,0.46583281446544733,0.9130368614957434
SOXL,2014-03-27,2017-03-27,0.4208703792788855,0.46583281446544733,0.9034794591743024
SOXL,2014-06-26,2017-06-26,0.3843196800115749,0.46583281446544733,0.8250163322062006
SOXL,2014-09-25,2017-09-25,0.4209273612194693,0.46583281446544733,0.9036017819021445
SOXL,2014-12-24,2017-12-22,0.6063522778092356,0.46583281446544733,1.3016521356595225
SOXL,2015-03-27,2018-03-27,0.6595582943010685,0.46583281446544733,1.415869114025222
SOXL,2015-06-26,2018-06-26,0.5729513637070502,0.3860283626829739,1.4842208995342319
SOXL,2015-09-25,2018-09-25,0.6092056170886226,0.4961883528929538,1.2277708929214846
SOXL,2015-12-24,2018-12-24,0.383809275156908,0.6202833171765494,0.6187644654122876
SOXL,2016-03-29,2019-03-29,0.4991958605873468,0.6202833171765494,0.8047868558832482
SOXL,2016-06-27,2019-06-27,0.6113729373863679,0.6358226354214769,0.9615463547960955
SOXL,2016-09-26,2019-09-26,0.4074744788105944,0.6358226354214769,0.640861863215181
SOXL,2016-12-23,2019-12-23,0.4165128774180815,0.6358226354214769,0.6550771460691733
SOXL,2017-03-28,2020-03-27,0.04566008669247812,0.6358226354214769,0.07181261589123948
SOXL,2017-06-27,2020-06-26,0.10594661675715411,0.6358226354214769,0.16662919948882246
SOXL,2017-09-26,2020-09-25,0.09920272959937937,0.6358226354214769,0.15602264542472513
SOXL,2017-12-26,2020-12-24,0.2325343953733423,0.6358226354214769,0.3657221093099318
SOXL,2018-03-28,2021-03-26,0.3238988234057667,0.6201976614046977,0.5222509589477683
