period_type,period,trades,pnl,pf,winrate,cost_bps_side
month,2024-08,12,-22.521535403172365,0.5652574614234414,0.5833333333333334,20.0
month,2024-09,11,-0.052502853514653225,0.998967607270855,0.45454545454545453,20.0
month,2024-10,14,-2.0948515723262346,0.947271900562333,0.5714285714285714,20.0
month,2024-11,12,22.583279462867125,1.4673710750752018,0.6666666666666666,20.0
month,2024-12,9,24.21713857245743,1.410326639869225,0.2222222222222222,20.0
month,2025-01,13,1.4129019324633987,1.0256078415457537,0.46153846153846156,20.0
month,2025-02,13,-18.122185495016367,0.6220509690289397,0.6153846153846154,20.0
month,2025-03,11,-33.657541848100976,0.45677455853405385,0.45454545454545453,20.0
month,2025-04,11,3.427530873540377,1.0816868446330394,0.6363636363636364,20.0
month,2025-05,10,2.2368338746486245,1.0630269549400913,0.5,20.0
month,2025-06,10,-7.218502149395533,0.8500229434914883,0.4,20.0
month,2025-07,12,17.37416225415916,2.103469748267658,0.6666666666666666,20.0
month,2025-08,13,-54.1952513967494,0.33910427576174984,0.38461538461538464,20.0
month,2025-09,13,8.744985749036317,1.1849404036100246,0.5384615384615384,20.0
month,2025-10,21,15.402194475754477,1.1808772625213655,0.5714285714285714,20.0
month,2025-11,9,27.050040682392464,1.9586011232194709,0.7777777777777778,20.0
month,2025-12,13,-62.82370760672549,0.17659808462672796,0.3076923076923077,20.0
month,2026-01,14,-49.95310238787118,0.40539031963108957,0.42857142857142855,20.0
month,2026-02,13,-21.987433158744814,0.7101487181504847,0.46153846153846156,20.0
month,2026-03,4,-33.05515586694395,0.03468754458409313,0.25,20.0
year,2023,51,-163.6418808026878,0.4577623567796934,0.47058823529411764,30.0
year,2024,121,-243.1932349567715,0.5864818223229442,0.4462809917355372,30.0
month,2023-09,6,-61.55471860668729,0.1577531478804204,0.5,30.0
month,2023-10,17,6.896755194755428,1.088810248047417,0.5882352941176471,30.0
month,2023-11,12,-27.270197899728686,0.4132521096375267,0.5833333333333334,30.0
month,2023-12,16,-81.71371949102726,0.21858869719758572,0.25,30.0
month,2024-01,15,36.20294193312674,1.775514547564124,0.4666666666666667,30.0
month,2024-02,15,5.807440395508451,1.1363564152624959,0.4666666666666667,30.0
month,2024-03,14,20.451667566576333,1.7124610865148533,0.7142857142857143,30.0
month,2024-04,12,-65.71132685697015,0.18121932741003496,0.25,30.0
month,2024-05,18,-39.22318893359625,0.4867955708707822,0.5,30.0
month,2024-06,14,32.89390749375252,1.6892794123239672,0.5714285714285714,30.0
month,2024-07,19,-166.1365713227908,0.09856067437178156,0.2631578947368421,30.0
month,2024-08,14,-67.47810523237837,0.17126190312669962,0.35714285714285715,30.0
