strategy,signal_time,entry_time,exit_time,entry_i,exit_i,entry_price,initial_stop,stop_source,pivot_time,risk_pct,entry_gap_atr,atr_ratio_setup,vol_ratio_setup,breakout_vol_ratio,exit_price_weighted,return_pct,r_multiple,tp1_hit,exit_reason,period,market,symbol,name,ticker,atr_ratio_max,cost_bps_side,priority_breakout_vol,priority_atr_ratio,priority_vol_ratio
SOR_E1_BE,2024-05-14,2024-05-16,2024-07-05,579,614,101400.0,91200.0,pivot,2024-05-08,10.059171597633137,0.12358393408856849,0.8848758465011287,0.6668456917297885,3.0223339108007017,128600.0,26.697696516633208,2.666666666666667,True,trend_off_next_open,P1_2023_08_08_2024_08_07,KOSDAQ,078600,대주전자재료,078600.KQ,0.9,5.0,3.0223339108007017,0.8848758465011287,0.6668456917297885
SOR_E1_BE,2024-06-19,2024-06-20,2024-07-12,603,619,190000.0,169500.0,pivot,2024-06-13,10.789473684210526,0.0,0.7768206734534064,0.8593144650615159,2.846543321858635,182300.0,-4.148530997659061,-0.375609756097561,False,trend_off_next_open,P1_2023_08_08_2024_08_07,KOSDAQ,140860,파크시스템스,140860.KQ,0.9,5.0,2.846543321858635,0.7768206734534064,0.8593144650615159
SOR_E1_BE,2024-07-03,2024-07-04,2024-07-12,613,619,195800.0,182200.0,pivot,2024-06-28,6.9458631256384065,0.0,0.8083832335329342,0.6645161680778053,1.6480939572775906,182300.0,-6.987849282713077,-0.9926470588235294,False,trend_off_next_open,P1_2023_08_08_2024_08_07,KOSDAQ,140860,파크시스템스,140860.KQ,0.9,5.0,1.6480939572775906,0.8083832335329342,0.6645161680778053
SOR_E1_BE,2024-04-23,2024-04-24,2024-05-08,566,574,31200.0,27500.0,pivot,2024-04-19,11.85897435897436,0.0,0.8822553897180763,0.6181723418708807,1.415328659177791,29450.0,-5.703318212688524,-0.47297297297297297,False,trend_off_next_open,P1_2023_08_08_2024_08_07,KOSDAQ,039200,오스코텍,039200.KQ,0.9,5.0,1.415328659177791,0.8822553897180763,0.6181723418708807
SOR_E1_BE,2023-08-09,2023-08-10,2023-08-21,395,401,45150.0,38800.0,pivot,2023-08-07,14.06423034330011,0.2448210922787194,0.8504233301975541,0.5229551962775516,1.3817800020523938,39800.0,-11.937497474961278,-0.84251968503937,False,trend_off_next_open,P1_2023_08_08_2024_08_07,KOSDAQ,140410,메지온,140410.KQ,0.9,5.0,1.3817800020523938,0.8504233301975541,0.5229551962775516
SOR_E1_BE,2024-08-01,2024-08-02,2024-08-07,634,637,28150.0,20650.0,pivot,2024-07-26,26.642984014209592,0.0,0.8899297423887588,0.8535731220014593,4.8838346184779775,29350.0,4.1586666702172925,0.16,False,end_of_data,P1_2023_08_08_2024_08_07,KOSDAQ,225570,넥슨게임즈,225570.KQ,0.9,5.0,4.8838346184779775,0.8899297423887588,0.8535731220014593
SOR_E1_BE,2024-01-02,2024-01-03,2024-01-18,490,501,18640.0,16000.0,pivot,2023-12-26,14.163090128755364,0.1137357830271216,0.7986289631533847,0.7092228359267188,2.5816863144194744,17030.0,-8.728656058236972,-0.6098484848484849,False,trend_off_next_open,P1_2023_08_08_2024_08_07,KOSDAQ,281740,레이크머티리얼즈,281740.KQ,0.9,5.0,2.5816863144194744,0.7986289631533847,0.7092228359267188
SOR_E1_BE,2023-11-27,2023-11-28,2023-12-06,467,473,39800.0,33250.0,pivot,2023-11-10,16.457286432160803,0.24883359253499224,0.7658119658119659,0.49393814378795614,5.3254711320071335,36450.0,-8.508622573135527,-0.5114503816793893,False,trend_off_next_open,P1_2023_08_08_2024_08_07,KOSDAQ,222800,심텍,222800.KQ,0.9,5.0,5.3254711320071335,0.7658119658119659,0.49393814378795614
SOR_E1_BE,2023-08-31,2023-09-01,2023-09-12,410,417,14920.0,12660.0,pivot,2023-08-23,15.14745308310992,0.037037037037037035,0.8101910828025478,0.789398805640965,2.3871281648110654,13390.0,-10.344392147089987,-0.6769911504424779,False,trend_off_next_open,P1_2023_08_08_2024_08_07,KOSDAQ,336570,원텍,336570.KQ,0.9,5.0,2.3871281648110654,0.8101910828025478,0.789398805640965
SOR_E1_BE,2024-01-25,2024-01-26,2024-01-30,507,509,112500.0,101300.0,pivot,2024-01-23,9.955555555555556,0.013449899125756557,0.8454849498327759,0.5709089628620923,1.1612436468790317,101300.0,-10.045555000277629,-1.0,False,initial_stop,P1_2023_08_08_2024_08_07,KOSDAQ,067160,아프리카TV,067160.KQ,0.9,5.0,1.1612436468790317,0.8454849498327759,0.5709089628620923
SOR_E1_BE,2025-05-29,2025-05-30,2025-07-18,831,864,210000.0,196500.0,pivot,2025-05-22,6.428571428571429,0.0,0.8772073921971253,0.5896659951658346,1.1698619921361038,253500.0,20.593631755550803,3.2222222222222223,True,trend_off_next_open,P2_2024_08_08_2025_08_07,KOSPI,000660,SK하이닉스,000660.KS,0.9,5.0,1.1698619921361038,0.8772073921971253,0.5896659951658346
SOR_E1_BE,2025-01-31,2025-02-03,2025-02-28,751,770,217500.0,203000.0,pivot,2025-01-21,6.666666666666667,0.15785319652722968,0.8967851099830795,0.4613772416110629,2.012053333243759,214500.0,-1.477881748780785,-0.20689655172413793,False,trend_off_next_open,P2_2024_08_08_2025_08_07,KOSPI,035420,NAVER,035420.KS,0.9,5.0,2.012053333243759,0.8967851099830795,0.4613772416110629
SOR_E1_BE,2024-10-25,2024-10-28,2024-10-31,688,691,99400.0,92000.0,pivot,2024-10-22,7.44466800804829,0.0,0.7081604426002767,0.8314212045071069,2.045145267124436,92000.0,-7.537177085501511,-1.0,False,initial_stop,P2_2024_08_08_2025_08_07,KOSPI,105560,KB금융,105560.KS,0.9,5.0,2.045145267124436,0.7081604426002767,0.8314212045071069
SOR_E1_BE,2025-07-03,2025-07-04,2025-07-17,854,863,116900.0,108100.0,pivot,2025-06-26,7.527801539777587,0.0,0.8387942332896461,0.9103017562849293,1.1056849964754376,112800.0,-3.6037156785165947,-0.4659090909090909,False,trend_off_next_open,P2_2024_08_08_2025_08_07,KOSPI,105560,KB금융,105560.KS,0.9,5.0,1.1056849964754376,0.8387942332896461,0.9103017562849293
SOR_E1_BE,2024-09-03,2024-09-04,2024-09-09,656,659,152000.0,138600.0,pivot,2024-08-14,8.81578947368421,0.0,0.8260427263479145,0.9253190257947111,2.24331137060607,143200.0,-5.88363712880402,-0.6567164179104478,False,trend_off_next_open,P2_2024_08_08_2025_08_07,KOSPI,028260,삼성물산,028260.KS,0.9,5.0,2.24331137060607,0.8260427263479145,0.9253190257947111
SOR_E1_BE,2024-09-03,2024-09-04,2024-09-09,656,659,98000.0,93300.0,pivot,2024-08-28,4.795918367346939,0.0,0.7369696969696969,0.6860662600651105,1.5247390496241169,93300.0,-4.891074870727897,-1.0,False,initial_stop,P2_2024_08_08_2025_08_07,KOSPI,032830,삼성생명,032830.KS,0.9,5.0,1.5247390496241169,0.7369696969696969,0.6860662600651105
SOR_E1_BE,2024-11-26,2024-11-27,2024-12-05,710,716,24300.0,21150.0,pivot,2024-11-13,12.962962962962964,0.0,0.8398576512455516,0.8175318877535542,1.6945220859887702,21750.0,-10.583288602612262,-0.8095238095238095,False,trend_off_next_open,P2_2024_08_08_2025_08_07,KOSPI,015760,한국전력,015760.KS,0.9,5.0,1.6945220859887702,0.8398576512455516,0.8175318877535542
SOR_E1_BE,2025-05-07,2025-05-08,2025-06-11,815,837,26500.0,24850.0,pivot,2025-04-24,6.226415094339623,0.0,0.7967479674796748,0.8664229989052676,1.9186630057083518,28875.0,8.853356340697571,1.4393939393939394,True,trend_off_next_open,P2_2024_08_08_2025_08_07,KOSPI,015760,한국전력,015760.KS,0.9,5.0,1.9186630057083518,0.7967479674796748,0.8664229989052676
SOR_E1_BE,2025-01-21,2025-01-22,2025-01-23,747,748,329000.0,303000.0,pivot,2025-01-17,7.90273556231003,0.13986013986013987,0.7222222222222222,0.8512562225779681,1.3313212133464793,303000.0,-7.994786801128306,-1.0,False,initial_stop,P2_2024_08_08_2025_08_07,KOSPI,329180,HD현대중공업,329180.KS,0.9,5.0,1.3313212133464793,0.7222222222222222,0.8512562225779681
SOR_E1_BE,2024-11-08,2024-11-11,2024-12-09,698,718,119400.0,107600.0,pivot,2024-11-04,9.882747068676716,0.0,0.8848167539267016,0.4742560014365999,2.3480780409293986,119000.0,-0.43462355924215323,-0.03389830508474576,False,trend_off_next_open,P2_2024_08_08_2025_08_07,KOSPI,033780,KT&G,033780.KS,0.9,5.0,2.3480780409293986,0.8848167539267016,0.4742560014365999
SOR_E1_BE,2025-04-22,2025-04-23,2025-07-25,807,869,115200.0,97900.0,pivot,2025-04-07,15.01736111111111,0.23450586264656617,0.6595744680851063,0.7656167673020641,1.4049250389129968,130200.0,12.907868982175597,0.8670520231213873,False,trend_off_next_open,P2_2024_08_08_2025_08_07,KOSPI,033780,KT&G,033780.KS,0.9,5.0,1.4049250389129968,0.6595744680851063,0.7656167673020641
SOR_E1_BE,2025-04-30,2025-05-02,2025-07-29,813,871,63800.0,51500.0,pivot,2025-04-09,19.278996865203762,0.0,0.6666666666666666,0.8331756301937234,1.0788994686703353,86100.0,34.81809252113759,1.8130081300813008,True,trend_off_next_open,P2_2024_08_08_2025_08_07,KOSPI,086790,하나금융지주,086790.KS,0.9,5.0,1.0788994686703353,0.6666666666666666,0.8331756301937234
SOR_E1_BE,2025-05-07,2025-05-08,2025-07-29,815,871,64500.0,51500.0,pivot,2025-04-09,20.155038759689923,0.0,0.8235294117647058,0.8568232897274114,1.1615967769784068,87150.0,34.98123031507503,1.7423076923076923,True,trend_off_next_open,P2_2024_08_08_2025_08_07,KOSPI,086790,하나금융지주,086790.KS,0.9,5.0,1.1615967769784068,0.8235294117647058,0.8568232897274114
SOR_E1_BE,2025-04-28,2025-04-29,2025-06-02,811,832,250000.0,209500.0,pivot,2025-04-09,16.2,0.15873015873015872,0.6222222222222222,0.6585030886293112,1.678612090979706,267000.0,6.693253373313346,0.41975308641975306,False,trend_off_next_open,P2_2024_08_08_2025_08_07,KOSPI,352820,하이브,352820.KS,0.9,5.0,1.678612090979706,0.6222222222222222,0.6585030886293112
