variant,entry_mode,exit_mode,capital_krw,slippage_ticks,ending_equity,return_pct,trades,wins,losses,pf,max_dd_pct,commissions,taxes,pnl,resolved_tickers,setups_before,setups_after_v028_filter,entry_candidates
PULLBACK|LEGACY_R,PULLBACK,LEGACY_R,50000000,2,48249113.776500024,-0.03501772446999951,87,47,40,0.6559153570241314,0.039714079485531295,97868.62949999997,575247.594,-1750886.2235000043,40,2803,157,106
PULLBACK|TRAIL_AVG,PULLBACK,TRAIL_AVG,5000000,0,5052003.656,0.010400731200000068,54,33,21,1.2416491938895233,0.0207373251441344,5846.558999999999,34989.78500000001,52003.656000000265,40,2803,157,106
PULLBACK|TRAIL_AVG,PULLBACK,TRAIL_AVG,5000000,1,5036065.2694999995,0.007213053899999933,52,31,21,1.1674116164889836,0.014053614635659795,5447.0265,32337.704,36065.26950000036,40,2803,157,106
PULLBACK|TRAIL_AVG,PULLBACK,TRAIL_AVG,5000000,2,5013140.723999998,0.002628144799999621,52,30,22,1.0543120422597456,0.015543890240415137,5406.843000000001,32052.433,13140.723999999449,40,2803,157,106
PULLBACK|TRAIL_AVG,PULLBACK,TRAIL_AVG,10000000,0,10315136.433999984,0.03151364339999829,71,43,28,1.5573657976720738,0.02475608104509286,15992.645999999997,94330.92000000003,315136.4339999993,40,2803,157,106
PULLBACK|TRAIL_AVG,PULLBACK,TRAIL_AVG,10000000,1,10167691.00549999,0.016769100549999028,69,39,30,1.2586613911041802,0.02280152285727466,15796.429499999998,92982.56499999999,167691.0055000004,40,2803,157,106
PULLBACK|TRAIL_AVG,PULLBACK,TRAIL_AVG,10000000,2,10113983.428499987,0.011398342849998633,68,38,30,1.1594066963607446,0.027601714120795595,15599.671499999999,91706.90000000001,113983.42849999922,40,2803,157,106
PULLBACK|TRAIL_AVG,PULLBACK,TRAIL_AVG,20000000,0,20801118.991000015,0.0400559495500008,85,50,35,1.5242910763075543,0.027541501150664227,38022.35399999999,225118.655,801118.990999999,40,2803,157,106
PULLBACK|TRAIL_AVG,PULLBACK,TRAIL_AVG,20000000,1,20445165.7805,0.022258289024999822,83,47,36,1.2589693300690366,0.02567463292567085,37275.025499999996,220149.19400000002,445165.7805000007,40,2803,157,106
PULLBACK|TRAIL_AVG,PULLBACK,TRAIL_AVG,20000000,2,20304827.449999973,0.015241372499998684,82,45,37,1.163466730694667,0.029619734285941668,36811.992,217400.558,304827.4500000018,40,2803,157,106
PULLBACK|TRAIL_AVG,PULLBACK,TRAIL_AVG,50000000,0,52396862.295000024,0.04793724590000048,92,52,40,1.5462756206834927,0.032012898418235514,105468.48,623369.225,2396862.295000005,40,2803,157,106
PULLBACK|TRAIL_AVG,PULLBACK,TRAIL_AVG,50000000,1,51422858.657499984,0.028457173149999626,90,49,41,1.28952488734262,0.030451884081161062,103794.44249999999,611696.9,1422858.657500004,40,2803,157,106
PULLBACK|TRAIL_AVG,PULLBACK,TRAIL_AVG,50000000,2,51004116.86349999,0.02008233726999986,89,47,42,1.1893125548383445,0.03228950648346074,102586.83149999999,605186.3049999999,1004116.8635000003,40,2803,157,106
PULLBACK|TRAIL_P70,PULLBACK,TRAIL_P70,5000000,0,5074310.848499998,0.014862169699999761,54,33,21,1.3452685963981028,0.02064796010861869,5907.8115,35371.340000000004,74310.84850000018,40,2803,157,106
PULLBACK|TRAIL_P70,PULLBACK,TRAIL_P70,5000000,1,5058172.642000001,0.011634528400000121,52,31,21,1.2699452623017928,0.014259272318719485,5508.279,32719.079,58172.64200000027,40,2803,157,106
PULLBACK|TRAIL_P70,PULLBACK,TRAIL_P70,5000000,2,5016671.018999999,0.003334203799999935,52,29,23,1.0685795979832402,0.015764706071647372,5459.2080000000005,32369.773,16671.01899999933,40,2803,157,106
PULLBACK|TRAIL_P70,PULLBACK,TRAIL_P70,10000000,0,10302907.32149998,0.03029073214999789,71,42,29,1.5011081576093652,0.024784817482611743,16461.433499999996,97141.24500000002,302907.32149999926,40,2803,157,106
PULLBACK|TRAIL_P70,PULLBACK,TRAIL_P70,10000000,1,10191063.668,0.019106366799999996,69,38,31,1.2910894111366273,0.02275028271295798,15903.551999999998,93652.78,191063.6680000004,40,2803,157,106
PULLBACK|TRAIL_P70,PULLBACK,TRAIL_P70,10000000,2,10106565.04349999,0.010656504349998874,68,36,32,1.1464373517351174,0.027621466222582325,15702.226499999999,92322.73,106565.0434999989,40,2803,157,106
PULLBACK|TRAIL_P70,PULLBACK,TRAIL_P70,20000000,0,20744951.068499997,0.03724755342499986,85,50,35,1.4579890744282407,0.028229526840351404,39057.76649999999,231301.16499999998,744951.0684999994,40,2803,157,106
PULLBACK|TRAIL_P70,PULLBACK,TRAIL_P70,20000000,1,20468551.207999993,0.023427560399999603,83,46,37,1.2697256223885356,0.026272066407312278,37511.867999999995,221576.924,468551.2080000007,40,2803,157,106
PULLBACK|TRAIL_P70,PULLBACK,TRAIL_P70,20000000,2,20252501.66499997,0.012625083249998559,82,42,40,1.1327230789182776,0.02969418763549614,36988.827,218449.50799999997,252501.66500000143,40,2803,157,106
PULLBACK|TRAIL_P70,PULLBACK,TRAIL_P70,50000000,0,52359556.545000024,0.04719113090000038,91,52,39,1.5195276851867303,0.03300098755646541,107985.96,638357.495,2359556.545000006,40,2803,157,106
PULLBACK|TRAIL_P70,PULLBACK,TRAIL_P70,50000000,1,51568782.20649998,0.03137564412999949,89,48,41,1.322730591062284,0.03139261543073246,104150.50649999999,613737.287,1568782.2065000013,40,2803,157,106
PULLBACK|TRAIL_P70,PULLBACK,TRAIL_P70,50000000,2,50948215.92600002,0.018964318520000356,88,44,44,1.1789244823591765,0.0333158531595088,102773.03399999999,606051.04,948215.9259999992,40,2803,157,106
