scenario,period,trades,pnl,pf,winrate
V029|PULLBACK|TRAIL_AVG|20M|0T,2024,33,167221.8404999986,1.286429377264456,0.5757575757575758
V029|PULLBACK|TRAIL_AVG|20M|0T,2025,25,562905.8474999999,3.035731959595605,0.64
V029|PULLBACK|TRAIL_AVG|20M|0T,2026,22,-7589.101999999257,0.9886121108817613,0.5
V029|PULLBACK|TRAIL_AVG|20M|1T,2023,5,62994.50999999989,12.988723907978967,0.8
V029|PULLBACK|TRAIL_AVG|20M|1T,2024,32,-99998.12199999997,0.8720638335877854,0.53125
V029|PULLBACK|TRAIL_AVG|20M|1T,2025,25,448025.7399999998,2.4161681295796504,0.6
V029|PULLBACK|TRAIL_AVG|20M|1T,2026,21,34143.65250000096,1.0554508758405095,0.5238095238095238
V029|PULLBACK|TRAIL_AVG|20M|2T,2023,5,47142.7425000004,4.097879137500584,0.4
V029|PULLBACK|TRAIL_AVG|20M|2T,2024,32,-97093.3824999989,0.8885500481867378,0.5625
V029|PULLBACK|TRAIL_AVG|20M|2T,2025,24,362778.09749999945,2.0696590746042665,0.625
V029|PULLBACK|TRAIL_AVG|20M|2T,2026,21,-8000.007499999192,0.9874845992271292,0.47619047619047616
V029|PULLBACK|TRAIL_AVG|50M|0T,2023,5,187729.74500000034,60.71237793823147,0.8
V029|PULLBACK|TRAIL_AVG|50M|0T,2024,34,407931.5165000004,1.2608577257127798,0.5588235294117647
V029|PULLBACK|TRAIL_AVG|50M|0T,2025,29,1259111.5925000026,2.283854387312244,0.5862068965517241
V029|PULLBACK|TRAIL_AVG|50M|0T,2026,24,542089.4410000021,1.2946197952432015,0.5
V029|PULLBACK|TRAIL_AVG|50M|1T,2023,5,148265.33500000136,12.28677509477661,0.8
V029|PULLBACK|TRAIL_AVG|50M|1T,2024,33,-317305.7374999968,0.8467003260105999,0.5151515151515151
V029|PULLBACK|TRAIL_AVG|50M|1T,2025,29,950333.9099999992,1.8574212136131871,0.5517241379310345
V029|PULLBACK|TRAIL_AVG|50M|1T,2026,23,641565.15,1.3723272083969942,0.5217391304347826
V029|PULLBACK|TRAIL_AVG|50M|2T,2023,5,108084.9849999994,3.769553205934075,0.4
V029|PULLBACK|TRAIL_AVG|50M|2T,2024,33,-320419.6590000007,0.8606768748609946,0.5454545454545454
V029|PULLBACK|TRAIL_AVG|50M|2T,2025,28,740823.9450000022,1.6496701519990065,0.5714285714285714
V029|PULLBACK|TRAIL_AVG|50M|2T,2026,23,475627.5924999997,1.2606391156306682,0.4782608695652174
V029|PULLBACK|TRAIL_P70|5M|0T,2023,4,3807.4100000000035,13.110467890199542,0.75
V029|PULLBACK|TRAIL_P70|5M|0T,2024,24,48491.918499999796,1.4286716306893077,0.625
V029|PULLBACK|TRAIL_P70|5M|0T,2025,16,79269.81000000003,5.398082637768453,0.6875
V029|PULLBACK|TRAIL_P70|5M|0T,2026,10,-57258.289999999644,0.3164554710444128,0.4
V029|PULLBACK|TRAIL_P70|5M|1T,2023,4,909.9649999999674,1.6927155493977941,0.75
V029|PULLBACK|TRAIL_P70|5M|1T,2024,24,25572.192000000403,1.1981301234221653,0.5416666666666666
V029|PULLBACK|TRAIL_P70|5M|1T,2025,16,68752.5499999999,3.983437221804779,0.6875
V029|PULLBACK|TRAIL_P70|5M|1T,2026,8,-37062.065,0.4029170853344401,0.5
V029|PULLBACK|TRAIL_P70|5M|2T,2023,4,-2037.4875000000175,0.44037483442889525,0.25
