Datetime,breadth20,coverage20,ks_close,ks_ema5,ks_ema20
2024-04-02 12:00:00+09:00,0.2564102564102564,39.0,2756.949951171875,2754.9578625072863,2752.7408609413988
2024-04-02 13:00:00+09:00,0.20512820512820512,39.0,2751.010009765625,2753.6419115933995,2752.5760179722774
2024-04-02 14:00:00+09:00,0.20512820512820512,39.0,2750.6298828125,2752.6379019997667,2752.3906717665845
2024-04-03 09:00:00+09:00,0.1794871794871795,39.0,2717.949951171875,2741.075251723803,2749.110603138517
2024-04-03 10:00:00+09:00,0.1282051282051282,39.0,2714.679931640625,2732.276811696077,2745.8314915672895
2024-04-03 11:00:00+09:00,0.10256410256410256,39.0,2710.52001953125,2725.0245476411346,2742.468494230524
2024-04-03 12:00:00+09:00,0.1282051282051282,39.0,2715.330078125,2721.7930578024234,2739.8838831728553
2024-04-03 13:00:00+09:00,0.15384615384615385,39.0,2721.5400390625,2721.708718222449,2738.136850400441
2024-04-03 14:00:00+09:00,0.1282051282051282,39.0,2709.2900390625,2717.569158502466,2735.389535034923
2024-04-04 09:00:00+09:00,0.3333333333333333,39.0,2739.679931640625,2724.9394162151857,2735.798144235466
2024-04-04 10:00:00+09:00,0.41025641025641024,39.0,2730.4599609375,2726.7795977892906,2735.2897458261364
2024-04-04 11:00:00+09:00,0.2564102564102564,39.0,2728.389892578125,2727.3163627189024,2734.6326169453732
2024-04-04 12:00:00+09:00,0.3076923076923077,39.0,2728.010009765625,2727.5475784011433,2734.001892452064
2024-04-04 13:00:00+09:00,0.41025641025641024,39.0,2735.719970703125,2730.271709168471,2734.1655189521653
2024-04-04 14:00:00+09:00,0.4358974358974359,39.0,2738.31005859375,2732.951158976897,2734.5602370132688
2024-04-05 09:00:00+09:00,0.38461538461538464,39.0,2729.050048828125,2731.6507889273066,2734.0354571861126
2024-04-05 10:00:00+09:00,0.1794871794871795,39.0,2707.27001953125,2723.5238657952877,2731.486367885649
2024-04-05 11:00:00+09:00,0.2564102564102564,39.0,2714.110107421875,2720.385946337484,2729.8314859367183
2024-04-05 12:00:00+09:00,0.38461538461538464,39.0,2719.739990234375,2720.1706276364475,2728.8703911079238
2024-04-05 13:00:00+09:00,0.3076923076923077,39.0,2714.2900390625,2718.2104314451317,2727.481786151217
2024-04-05 14:00:00+09:00,0.28205128205128205,39.0,2714.659912109375,2717.0269249998796,2726.2606552900893
2024-04-08 09:00:00+09:00,0.358974358974359,39.0,2718.97998046875,2717.6779434895034,2725.567257688057
2024-04-08 10:00:00+09:00,0.38461538461538464,39.0,2714.989990234375,2716.7819590711274,2724.5598988829443
2024-04-08 11:00:00+09:00,0.5128205128205128,39.0,2719.409912109375,2717.65794341721,2724.069423952128
2024-04-08 12:00:00+09:00,0.48717948717948717,39.0,2719.4599609375,2718.2586159239736,2723.6304274745444
2024-04-08 13:00:00+09:00,0.46153846153846156,39.0,2722.31005859375,2719.609096813899,2723.5046780573257
2024-04-08 14:00:00+09:00,0.41025641025641024,39.0,2722.75,2720.6560645426,2723.432803956628
