market,month,ticker,momentum63,rank,universe_count,eligible
KR,2023-08-01,445290.KS,0.02616362556150653,7,9,False
KR,2023-08-01,102970.KS,0.012428789193011935,8,9,False
KR,2023-08-01,140710.KS,-0.024737535081165163,9,9,False
KR,2023-09-01,091160.KS,0.2487525796265082,1,9,True
KR,2023-09-01,445290.KS,0.13866035337471772,2,9,True
KR,2023-09-01,117680.KS,0.1291975181446161,3,9,True
KR,2023-09-01,117700.KS,0.088235311594697,4,9,True
KR,2023-09-01,091170.KS,0.048020027544622756,5,9,True
KR,2023-09-01,102970.KS,0.023509659475789535,6,9,False
KR,2023-09-01,140700.KS,-0.023566833849682167,7,9,False
KR,2023-09-01,091180.KS,-0.032173740909869575,8,9,False
KR,2023-09-01,140710.KS,-0.03666672278426952,9,9,False
KR,2023-10-01,140700.KS,0.0885072899832855,1,9,True
KR,2023-10-01,445290.KS,0.080272635003513,2,9,True
KR,2023-10-01,117680.KS,0.07957705583618524,3,9,True
KR,2023-10-01,091170.KS,0.04351388268355705,4,9,True
KR,2023-10-01,091180.KS,0.0075675390441951595,5,9,True
KR,2023-10-01,091160.KS,-0.004308899714586367,6,9,False
KR,2023-10-01,102970.KS,-0.03395315964646484,7,9,False
KR,2023-10-01,117700.KS,-0.062068960712611254,8,9,False
KR,2023-10-01,140710.KS,-0.06420015256322598,9,9,False
KR,2023-11-01,140700.KS,0.13310354470916952,1,9,True
KR,2023-11-01,091170.KS,0.0008452343623177594,2,9,True
KR,2023-11-01,102970.KS,-0.04450049475772255,3,9,False
KR,2023-11-01,117680.KS,-0.048448557866840214,4,9,False
KR,2023-11-01,445290.KS,-0.06176593434258948,5,9,False
KR,2023-11-01,091160.KS,-0.12818248815499644,6,9,False
KR,2023-11-01,140710.KS,-0.14406775282229223,7,9,False
KR,2023-11-01,091180.KS,-0.16265986795242016,8,9,False
KR,2023-11-01,117700.KS,-0.19710913835985122,9,9,False
KR,2023-12-01,445290.KS,0.09671534177067542,1,9,True
KR,2023-12-01,091160.KS,0.07958043188112107,2,9,True
KR,2023-12-01,091170.KS,0.06650219733451523,3,9,True
