market,ticker,entry_mode,signal_i,signal_date,entry_date,momentum63,momentum_rank,universe_count,asset_60m_regime,market_60m_regime,daily_strict_stack,intraday_strict_stack,signal_close,signal_atr14,signal_rsi14,entry_price,initial_stop,risk_price,risk_pct,exit_i,exit_date,exit_price,exit_reason,hold_days,gross_r,net_r,mfe_r,mae_r,cost_label,cost_bps_each_side,evaluation_window
KR,117700.KS,DAILY_5_20_CROSS,954,2025-08-08,2025-08-11,0.29408144350961396,5,9,False,True,True,False,4232.87841796875,111.13745101256036,53.46482556734507,4227.904487764452,4005.629585739331,222.2749020251208,0.05257330260614543,956,2025-08-12,4173.190221596451,MA20_NEXT_OPEN,2,-0.24615584426989093,-0.2650538274268275,0.17902175133243659,-0.4475543783310955,BASE_5BP_SIDE,5.0,DEVELOPMENT_TO_2025
KR,117700.KS,DAILY_5_20_CROSS,1094,2026-03-11,2026-03-12,0.8571429413980065,3,9,True,False,True,False,6381.64892578125,355.56855171634646,57.84356218624269,6326.935054866412,5615.797951433719,711.137103432693,0.11239835675027457,1109,2026-04-01,7132.723874496982,MA20_NEXT_OPEN,15,1.1330991109041955,1.1236356341256721,1.972432462455722,-0.06294995676701409,BASE_5BP_SIDE,5.0,VALIDATION_2026_H1
KR,117700.KS,DAILY_5_20_CROSS,954,2025-08-08,2025-08-11,0.29408144350961396,5,9,False,True,True,False,4232.87841796875,111.13745101256036,53.46482556734507,4227.904487764452,4005.629585739331,222.2749020251208,0.05257330260614543,956,2025-08-12,4173.190221596451,MA20_NEXT_OPEN,2,-0.24615584426989093,-0.283951810583764,0.17902175133243659,-0.4475543783310955,STRESS_10BP_SIDE,10.0,DEVELOPMENT_TO_2025
KR,117700.KS,DAILY_5_20_CROSS,1094,2026-03-11,2026-03-12,0.8571429413980065,3,9,True,False,True,False,6381.64892578125,355.56855171634646,57.84356218624269,6326.935054866412,5615.797951433719,711.137103432693,0.11239835675027457,1109,2026-04-01,7132.723874496982,MA20_NEXT_OPEN,15,1.1330991109041955,1.1141721573471486,1.972432462455722,-0.06294995676701409,STRESS_10BP_SIDE,10.0,VALIDATION_2026_H1
KR,117680.KS,DAILY_5_20_CROSS,975,2025-09-09,2025-09-10,0.17716127031756668,3,9,False,False,True,False,11262.943359375,220.87523112382,52.494396054142406,11267.857781374167,10826.107319126526,441.7504622476408,0.0392044762029085,987,2025-09-25,11410.364296067854,MA20_NEXT_OPEN,12,0.3225950550648186,0.2969264661039215,1.9578183446646795,0.0,BASE_5BP_SIDE,5.0,DEVELOPMENT_TO_2025
KR,117680.KS,DAILY_5_20_CROSS,1057,2026-01-13,2026-01-14,0.08740892671358358,4,9,True,True,True,True,13348.822265625,413.74536024142213,65.46320262465244,13373.441639305816,12545.950918822971,827.4907204828451,0.061875674400131316,1075,2026-02-06,14298.582268665794,TRAIL_STOP,18,1.1180072555014917,1.1012868118620605,3.1721528307641966,-0.5474420033411664,BASE_5BP_SIDE,5.0,VALIDATION_2026_H1
KR,117680.KS,DAILY_5_20_CROSS,975,2025-09-09,2025-09-10,0.17716127031756668,3,9,False,False,True,False,11262.943359375,220.87523112382,52.494396054142406,11267.857781374167,10826.107319126526,441.7504622476408,0.0392044762029085,987,2025-09-25,11410.364296067854,MA20_NEXT_OPEN,12,0.3225950550648186,0.2712578771430243,1.9578183446646795,0.0,STRESS_10BP_SIDE,10.0,DEVELOPMENT_TO_2025
KR,117680.KS,DAILY_5_20_CROSS,1057,2026-01-13,2026-01-14,0.08740892671358358,4,9,True,True,True,True,13348.822265625,413.74536024142213,65.46320262465244,13373.441639305816,12545.950918822971,827.4907204828451,0.061875674400131316,1075,2026-02-06,14298.582268665794,TRAIL_STOP,18,1.1180072555014917,1.0845663682226292,3.1721528307641966,-0.5474420033411664,STRESS_10BP_SIDE,10.0,VALIDATION_2026_H1
KR,445290.KS,DAILY_5_20_CROSS,725,2025-12-02,2025-12-03,0.3547437858638718,2,9,False,False,True,True,23589.58984375,789.9929608989092,62.95327168165815,23589.588187224323,22009.602265426503,1579.9859217978192,0.06697810530891378,744,2025-12-30,26218.970703125,WINDOW_END,19,1.664180977580345,1.6484186349533698,1.803124001715168,-0.14841832709278927,BASE_5BP_SIDE,5.0,DEVELOPMENT_TO_2025
KR,445290.KS,DAILY_5_20_CROSS,779,2026-02-24,2026-02-25,0.6377171882009276,1,9,True,True,True,True,35484.16796875,1311.3521099728346,62.481015283944835,35918.23905882229,33295.53483887662,2622.70421994567,0.07301873055776874,784,2026-03-04,34865.49118795183,MA20_NEXT_OPEN,5,-0.40139786364940017,-0.414892280920792,1.1319066520611232,-0.24159970703936615,BASE_5BP_SIDE,5.0,VALIDATION_2026_H1
KR,445290.KS,DAILY_5_20_CROSS,725,2025-12-02,2025-12-03,0.3547437858638718,2,9,False,False,True,True,23589.58984375,789.9929608989092,62.95327168165815,23589.588187224323,22009.602265426503,1579.9859217978192,0.06697810530891378,744,2025-12-30,26218.970703125,WINDOW_END,19,1.664180977580345,1.6326562923263945,1.803124001715168,-0.14841832709278927,STRESS_10BP_SIDE,10.0,DEVELOPMENT_TO_2025
KR,445290.KS,DAILY_5_20_CROSS,779,2026-02-24,2026-02-25,0.6377171882009276,1,9,True,True,True,True,35484.16796875,1311.3521099728346,62.481015283944835,35918.23905882229,33295.53483887662,2622.70421994567,0.07301873055776874,784,2026-03-04,34865.49118795183,MA20_NEXT_OPEN,5,-0.40139786364940017,-0.4283866981921838,1.1319066520611232,-0.24159970703936615,STRESS_10BP_SIDE,10.0,VALIDATION_2026_H1
KR,091160.KS,MA20_RECLAIM_60M,1015,2025-11-11,2025-11-12,0.5968465418653115,1,9,True,True,True,False,59730.26171875,2051.5787796256263,66.93978444680066,59195.75118833235,55092.5936290811,4103.157559251253,0.06931506868114543,1019,2025-11-17,57337.45269374521,MA20_NEXT_OPEN,4,-0.45289474453577816,-0.46709517459473776,0.20088057182721838,-0.7767378661187726,BASE_5BP_SIDE,5.0,DEVELOPMENT_TO_2025
KR,091160.KS,MA20_RECLAIM_60M,1047,2025-12-26,2025-12-29,0.49946129241999615,1,9,True,True,True,False,59470.5,1621.2157246089796,60.126731737862954,60634.43451156284,57392.00306234488,3242.431449217962,0.05347508351215246,1049,2025-12-30,61243.875,WINDOW_END,2,0.18795786371494508,0.16916358673170176,0.31120912580369464,-0.16947048819018276,BASE_5BP_SIDE,5.0,DEVELOPMENT_TO_2025
KR,091160.KS,MA20_RECLAIM_60M,1099,2026-03-18,2026-03-19,0.9935691546603513,2,9,True,True,True,True,105003.7734375,5648.301836127833,61.940972329122715,101776.73162226842,90480.12795001276,11296.60367225566,0.11099397172805263,1103,2026-03-24,101911.60684534957,MA20_NEXT_OPEN,4,0.011939448970171771,0.0029239809420300734,0.2931823586592882,-0.4001962623849535,BASE_5BP_SIDE,5.0,VALIDATION_2026_H1
KR,091160.KS,MA20_RECLAIM_60M,1154,2026-06-09,2026-06-10,0.6746611982012061,1,9,True,True,True,False,158600.0,9294.795317242666,57.16993089109869,153105.0,138981.30117068934,14123.698829310655,0.09224844929499791,1156,2026-06-11,146950.0,MA20_NEXT_OPEN,2,-0.43579235683124595,-0.4464147512771436,0.5048252646964718,-0.40924123842154375,BASE_5BP_SIDE,5.0,VALIDATION_2026_H1
KR,091160.KS,MA20_RECLAIM_60M,1166,2026-06-25,2026-06-26,0.6746611982012061,1,9,True,True,True,True,182185.0,10970.06139867652,60.55233382896651,177515.0,158907.48465033088,18607.51534966912,0.1048222141772195,1169,2026-06-30,173450.0,WINDOW_END,3,-0.21846011805505694,-0.2278908505683648,0.14940199955548789,-0.7209452604449172,BASE_5BP_SIDE,5.0,VALIDATION_2026_H1
KR,091160.KS,MA20_RECLAIM_60M,1015,2025-11-11,2025-11-12,0.5968465418653115,1,9,True,True,True,False,59730.26171875,2051.5787796256263,66.93978444680066,59195.75118833235,55092.5936290811,4103.157559251253,0.06931506868114543,1019,2025-11-17,57337.45269374521,MA20_NEXT_OPEN,4,-0.45289474453577816,-0.48129560465369736,0.20088057182721838,-0.7767378661187726,STRESS_10BP_SIDE,10.0,DEVELOPMENT_TO_2025
KR,091160.KS,MA20_RECLAIM_60M,1047,2025-12-26,2025-12-29,0.49946129241999615,1,9,True,True,True,False,59470.5,1621.2157246089796,60.126731737862954,60634.43451156284,57392.00306234488,3242.431449217962,0.05347508351215246,1049,2025-12-30,61243.875,WINDOW_END,2,0.18795786371494508,0.15036930974845844,0.31120912580369464,-0.16947048819018276,STRESS_10BP_SIDE,10.0,DEVELOPMENT_TO_2025
KR,091160.KS,MA20_RECLAIM_60M,1099,2026-03-18,2026-03-19,0.9935691546603513,2,9,True,True,True,True,105003.7734375,5648.301836127833,61.940972329122715,101776.73162226842,90480.12795001276,11296.60367225566,0.11099397172805263,1103,2026-03-24,101911.60684534957,MA20_NEXT_OPEN,4,0.011939448970171771,-0.006091487086111624,0.2931823586592882,-0.4001962623849535,STRESS_10BP_SIDE,10.0,VALIDATION_2026_H1
KR,091160.KS,MA20_RECLAIM_60M,1154,2026-06-09,2026-06-10,0.6746611982012061,1,9,True,True,True,False,158600.0,9294.795317242666,57.16993089109869,153105.0,138981.30117068934,14123.698829310655,0.09224844929499791,1156,2026-06-11,146950.0,MA20_NEXT_OPEN,2,-0.43579235683124595,-0.45703714572304116,0.5048252646964718,-0.40924123842154375,STRESS_10BP_SIDE,10.0,VALIDATION_2026_H1
KR,091160.KS,MA20_RECLAIM_60M,1166,2026-06-25,2026-06-26,0.6746611982012061,1,9,True,True,True,True,182185.0,10970.06139867652,60.55233382896651,177515.0,158907.48465033088,18607.51534966912,0.1048222141772195,1169,2026-06-30,173450.0,WINDOW_END,3,-0.21846011805505694,-0.2373215830816727,0.14940199955548789,-0.7209452604449172,STRESS_10BP_SIDE,10.0,VALIDATION_2026_H1
KR,091180.KS,MA20_RECLAIM_60M,1014,2025-11-10,2025-11-11,0.11936935135087556,4,9,True,True,True,True,21793.6796875,632.942082341855,64.20395216434625,21651.941709894432,20386.057545210722,1265.88416468371,0.058465156688706145,1021,2025-11-19,21348.91086794401,MA20_NEXT_OPEN,7,-0.23938275744695497,-0.256367270634456,0.4942069366228522,-0.47876466029038567,BASE_5BP_SIDE,5.0,DEVELOPMENT_TO_2025
KR,091180.KS,MA20_RECLAIM_60M,1043,2025-12-19,2025-12-22,0.16935684513479554,4,9,True,True,True,True,24237.46484375,641.1784664711639,60.668906495432125,24261.903584577303,23275.608574707327,986.2950098699766,0.040652004342187735,1048,2025-12-29,23592.306580693712,MA20_NEXT_OPEN,5,-0.6789013400482116,-0.7031609224684753,0.25768477635579085,-0.6442132810905181,BASE_5BP_SIDE,5.0,DEVELOPMENT_TO_2025
KR,091180.KS,MA20_RECLAIM_60M,1053,2026-01-07,2026-01-08,0.27814920103052265,3,9,True,True,True,True,25703.736328125,720.8191740664156,70.46888866554693,26040.977678571428,24599.339330438597,1441.6383481328303,0.0553603772457101,1067,2026-01-27,29809.3538008798,TRAIL_STOP,14,2.6139538582537476,2.5945834206014102,6.133034299833886,-0.6678869674310175,BASE_5BP_SIDE,5.0,VALIDATION_2026_H1
KR,091180.KS,MA20_RECLAIM_60M,1073,2026-02-04,2026-02-05,0.4651234844709413,3,9,True,True,True,True,31248.15625,1234.4913703660416,61.82396003093167,30880.81949171582,29230.188749239,1650.6307424768202,0.053451649588496936,1075,2026-02-06,29230.188749239,INITIAL_STOP,2,-1.0,-1.0182084965141134,0.5222355886572453,-1.0889806467625418,BASE_5BP_SIDE,5.0,VALIDATION_2026_H1
KR,091180.KS,MA20_RECLAIM_60M,1076,2026-02-09,2026-02-10,0.4651234844709413,3,9,True,True,True,True,30724.087890625,1243.2811517422808,57.55731792595222,31517.53524348938,29030.972940004816,2486.562303484563,0.07889456723930262,1089,2026-03-04,34204.54358324758,TRAIL_STOP,13,1.0806117087807285,1.067396258933637,2.97624673933827,-0.9927386857215175,BASE_5BP_SIDE,5.0,VALIDATION_2026_H1
KR,091180.KS,MA20_RECLAIM_60M,1014,2025-11-10,2025-11-11,0.11936935135087556,4,9,True,True,True,True,21793.6796875,632.942082341855,64.20395216434625,21651.941709894432,20386.057545210722,1265.88416468371,0.058465156688706145,1021,2025-11-19,21348.91086794401,MA20_NEXT_OPEN,7,-0.23938275744695497,-0.2733517838219571,0.4942069366228522,-0.47876466029038567,STRESS_10BP_SIDE,10.0,DEVELOPMENT_TO_2025
KR,091180.KS,MA20_RECLAIM_60M,1043,2025-12-19,2025-12-22,0.16935684513479554,4,9,True,True,True,True,24237.46484375,641.1784664711639,60.668906495432125,24261.903584577303,23275.608574707327,986.2950098699766,0.040652004342187735,1048,2025-12-29,23592.306580693712,MA20_NEXT_OPEN,5,-0.6789013400482116,-0.727420504888739,0.25768477635579085,-0.6442132810905181,STRESS_10BP_SIDE,10.0,DEVELOPMENT_TO_2025
KR,091180.KS,MA20_RECLAIM_60M,1053,2026-01-07,2026-01-08,0.27814920103052265,3,9,True,True,True,True,25703.736328125,720.8191740664156,70.46888866554693,26040.977678571428,24599.339330438597,1441.6383481328303,0.0553603772457101,1067,2026-01-27,29809.3538008798,TRAIL_STOP,14,2.6139538582537476,2.575212982949073,6.133034299833886,-0.6678869674310175,STRESS_10BP_SIDE,10.0,VALIDATION_2026_H1
KR,091180.KS,MA20_RECLAIM_60M,1073,2026-02-04,2026-02-05,0.4651234844709413,3,9,True,True,True,True,31248.15625,1234.4913703660416,61.82396003093167,30880.81949171582,29230.188749239,1650.6307424768202,0.053451649588496936,1075,2026-02-06,29230.188749239,INITIAL_STOP,2,-1.0,-1.0364169930282265,0.5222355886572453,-1.0889806467625418,STRESS_10BP_SIDE,10.0,VALIDATION_2026_H1
KR,091180.KS,MA20_RECLAIM_60M,1076,2026-02-09,2026-02-10,0.4651234844709413,3,9,True,True,True,True,30724.087890625,1243.2811517422808,57.55731792595222,31517.53524348938,29030.972940004816,2486.562303484563,0.07889456723930262,1089,2026-03-04,34204.54358324758,TRAIL_STOP,13,1.0806117087807285,1.0541808090865457,2.97624673933827,-0.9927386857215175,STRESS_10BP_SIDE,10.0,VALIDATION_2026_H1
KR,091170.KS,MA20_RECLAIM_60M,989,2025-09-29,2025-09-30,0.16087732769670526,5,9,True,True,True,True,11575.12890625,207.69352255857316,56.45314572810489,11551.004047340928,11265.551228735356,285.45281860557225,0.024712381489580056,993,2025-10-10,11265.551228735356,INITIAL_STOP,4,-1.0,-1.0399655455979282,0.6423046792853512,-1.0141798202303594,BASE_5BP_SIDE,5.0,DEVELOPMENT_TO_2025
KR,091170.KS,MA20_RECLAIM_60M,989,2025-09-29,2025-09-30,0.16087732769670526,5,9,True,True,True,True,11575.12890625,207.69352255857316,56.45314572810489,11551.004047340928,11265.551228735356,285.45281860557225,0.024712381489580056,993,2025-10-10,11265.551228735356,INITIAL_STOP,4,-1.0,-1.0799310911958566,0.6423046792853512,-1.0141798202303594,STRESS_10BP_SIDE,10.0,DEVELOPMENT_TO_2025
KR,102970.KS,MA20_RECLAIM_60M,931,2025-07-08,2025-07-09,0.7350756694424607,1,9,True,True,True,True,13758.8056640625,581.4696610395995,66.08375512834351,14062.48837171541,12899.54904963621,1162.939322079199,0.08269797573082992,941,2025-07-22,13989.017059835702,MA20_NEXT_OPEN,10,-0.0631772530903418,-0.07523785887560251,0.9771472528578872,-0.3959129768502501,BASE_5BP_SIDE,5.0,DEVELOPMENT_TO_2025
KR,102970.KS,MA20_RECLAIM_60M,989,2025-09-29,2025-09-30,0.1728339813026396,4,9,True,True,True,False,13861.666015625,428.4558879969572,53.263085212310564,13802.889075078265,13269.638898007468,533.2501770707968,0.038633229186316065,991,2025-10-01,13709.824362362133,MA20_NEXT_OPEN,2,-0.1745235477039067,-0.20032073879774828,0.09185398462630925,-0.3857867354304921,BASE_5BP_SIDE,5.0,DEVELOPMENT_TO_2025
KR,102970.KS,MA20_RECLAIM_60M,999,2025-10-20,2025-10-21,0.0167333704330197,5,9,True,True,True,True,15443.7578125,532.358987822352,67.65683520753433,15610.292311893572,14545.574336248868,1064.717975644704,0.06820615234946556,1002,2025-10-23,14545.574336248868,INITIAL_STOP,3,-1.0,-1.0141614339843763,0.0966081310548805,-1.0212854346948868,BASE_5BP_SIDE,5.0,DEVELOPMENT_TO_2025
