market,symbol,name,yf_ticker,marcap_snapshot,universe_source,frozen_at_utc
KOSDAQ,310210,보로노이,310210.KQ,3233074202900,FinanceDataReader current listing sorted by market cap,2026-08-10 05:00:24.483324+00:00
KOSDAQ,080220,제주반도체,080220.KQ,3061967853700,FinanceDataReader current listing sorted by market cap,2026-08-10 05:00:24.483391+00:00
KOSDAQ,440110,파두,440110.KQ,3041739338900,FinanceDataReader current listing sorted by market cap,2026-08-10 05:00:24.483460+00:00
KOSDAQ,403870,HPSP,403870.KQ,3024525000000,FinanceDataReader current listing sorted by market cap,2026-08-10 05:00:24.483529+00:00
KOSDAQ,214150,클래시스,214150.KQ,2991054965150,FinanceDataReader current listing sorted by market cap,2026-08-10 05:00:24.483597+00:00
KOSDAQ,095340,ISC,095340.KQ,2984545766400,FinanceDataReader current listing sorted by market cap,2026-08-10 05:00:24.483665+00:00
KOSDAQ,347850,디앤디파마텍,347850.KQ,2970277063200,FinanceDataReader current listing sorted by market cap,2026-08-10 05:00:24.483731+00:00
KOSDAQ,226950,올릭스,226950.KQ,2875079025000,FinanceDataReader current listing sorted by market cap,2026-08-10 05:00:24.483798+00:00
KOSDAQ,084370,유진테크,084370.KQ,2825547978600,FinanceDataReader current listing sorted by market cap,2026-08-10 05:00:24.483865+00:00
KOSDAQ,095610,테스,095610.KQ,2789776000000,FinanceDataReader current listing sorted by market cap,2026-08-10 05:00:24.483932+00:00
KOSDAQ,319400,현대무벡스,319400.KQ,2700868945750,FinanceDataReader current listing sorted by market cap,2026-08-10 05:00:24.484036+00:00
KOSDAQ,131290,티에스이,131290.KQ,2533067241000,FinanceDataReader current listing sorted by market cap,2026-08-10 05:00:24.484107+00:00
KOSDAQ,257720,실리콘투,257720.KQ,2518128076800,FinanceDataReader current listing sorted by market cap,2026-08-10 05:00:24.484174+00:00
KOSDAQ,357780,솔브레인,357780.KQ,2403576894000,FinanceDataReader current listing sorted by market cap,2026-08-10 05:00:24.484242+00:00
KOSDAQ,178320,서진시스템,178320.KQ,2345529658450,FinanceDataReader current listing sorted by market cap,2026-08-10 05:00:24.484310+00:00
KOSDAQ,058610,에스피지,058610.KQ,2344146952000,FinanceDataReader current listing sorted by market cap,2026-08-10 05:00:24.484378+00:00
KOSDAQ,263750,펄어비스,263750.KQ,2262380760000,FinanceDataReader current listing sorted by market cap,2026-08-10 05:00:24.484445+00:00
KOSDAQ,067310,하나마이크론,067310.KQ,2250715915650,FinanceDataReader current listing sorted by market cap,2026-08-10 05:00:24.484510+00:00
KOSDAQ,064760,티씨케이,064760.KQ,2247062616000,FinanceDataReader current listing sorted by market cap,2026-08-10 05:00:24.484577+00:00
KOSDAQ,237690,에스티팜,237690.KQ,2244238585000,FinanceDataReader current listing sorted by market cap,2026-08-10 05:00:24.484644+00:00
KOSDAQ,031980,피에스케이홀딩스,031980.KQ,2231707882500,FinanceDataReader current listing sorted by market cap,2026-08-10 05:00:24.484710+00:00
